job_no,customer_code,customer_name,site_name,postal_code,address,inspection_type,assignee_email,scheduled_date,report_due_date,status,estimate_amount,billing_status,notes
CSV-2026-0001,C001,架空中央ビル管理,本社ビル,590-0001,大阪府南大阪市架空町1-1-1,消防設備点検,staff@table-to-app.example,2026-08-05,2026-08-08,scheduled,52000,quoted,架空データ
CSV-2026-0002,C001,架空中央ビル管理,第2倉庫,590-0002,大阪府南大阪市架空町1-2-1,空調設備点検,admin@table-to-app.example,2026-08-06,2026-08-09,in_progress,64000,ordered,架空データ
CSV-2026-0003,C002,泉南物流サンプル,南倉庫,590-0003,大阪府南大阪市架空町2-1-1,電気設備点検,staff@table-to-app.example,2026-08-07,2026-08-10,report_preparing,73000,not_invoiced,架空データ
CSV-2026-0004,C002,泉南物流サンプル,北倉庫,590-0004,大阪府南大阪市架空町2-2-1,消防設備点検,staff@table-to-app.example,2026-08-08,2026-08-11,submitted,48000,invoiced,架空データ
CSV-2026-0005,C003,河内事務所サンプル,本館,590-0005,大阪府南大阪市架空町3-1-1,給排水設備点検,admin@table-to-app.example,2026-08-09,2026-08-12,completed,91000,paid,架空データ
CSV-2026-0006,C003,河内事務所サンプル,別館,590-0006,大阪府南大阪市架空町3-2-1,消防設備点検,staff@table-to-app.example,2026-08-10,2026-08-13,scheduled,56000,quoted,架空データ
CSV-2026-0007,C004,南港テスト倉庫,湾岸倉庫,590-0007,大阪府南大阪市架空町4-1-1,空調設備点検,staff@table-to-app.example,2026-08-11,2026-08-14,in_progress,68000,ordered,架空データ
CSV-2026-0008,C004,南港テスト倉庫,事務棟,590-0008,大阪府南大阪市架空町4-2-1,電気設備点検,admin@table-to-app.example,2026-08-12,2026-08-15,report_preparing,78000,not_invoiced,架空データ
CSV-2026-0009,C005,和泉メディカルサンプル,診療棟,590-0009,大阪府南大阪市架空町5-1-1,消防設備点検,staff@table-to-app.example,2026-08-13,2026-08-16,scheduled,87000,quoted,長い備考の確認用。入館時間と担当部署の確認が必要。
CSV-2026-0010,C005,和泉メディカルサンプル,管理棟,590-0010,大阪府南大阪市架空町5-2-1,給排水設備点検,staff@table-to-app.example,2026-08-14,2026-08-17,completed,66000,paid,架空データ
CSV-2026-0011,C006,松原商業サンプル,東館,590-0011,大阪府南大阪市架空町6-1-1,消防設備点検,admin@table-to-app.example,2026-08-15,2026-08-18,scheduled,59000,not_quoted,架空データ
CSV-2026-0012,C006,松原商業サンプル,西館,590-0012,大阪府南大阪市架空町6-2-1,空調設備点検,staff@table-to-app.example,2026-08-16,2026-08-19,in_progress,72000,quoted,架空データ
CSV-2026-0013,C007,岸和田公共サンプル,体育館,590-0013,大阪府南大阪市架空町7-1-1,電気設備点検,staff@table-to-app.example,2026-08-17,2026-08-20,submitted,84000,invoiced,架空データ
CSV-2026-0014,C007,岸和田公共サンプル,会議棟,590-0014,大阪府南大阪市架空町7-2-1,消防設備点検,admin@table-to-app.example,2026-08-18,2026-08-21,scheduled,53000,ordered,架空データ
CSV-2026-0015,C008,高石製造サンプル,第一工場,590-0015,大阪府南大阪市架空町8-1-1,給排水設備点検,staff@table-to-app.example,2026-08-19,2026-08-22,report_preparing,94000,not_invoiced,架空データ
CSV-2026-0016,C008,高石製造サンプル,第二工場,590-0016,大阪府南大阪市架空町8-2-1,消防設備点検,staff@table-to-app.example,2026-08-20,2026-08-23,scheduled,76000,quoted,架空データ
CSV-2026-0017,C009,羽曳野福祉サンプル,福祉棟,590-0017,大阪府南大阪市架空町9-1-1,空調設備点検,admin@table-to-app.example,2026-08-21,2026-08-24,in_progress,61000,ordered,架空データ
CSV-2026-0018,C009,羽曳野福祉サンプル,管理事務所,590-0018,大阪府南大阪市架空町9-2-1,電気設備点検,staff@table-to-app.example,2026-08-22,2026-08-25,completed,70000,paid,架空データ
CSV-2026-0019,C010,狭山教育サンプル,講義棟,590-0019,大阪府南大阪市架空町10-1-1,消防設備点検,staff@table-to-app.example,2026-08-23,2026-08-26,scheduled,58000,not_quoted,架空データ
CSV-2026-0020,C010,狭山教育サンプル,管理棟,590-0020,大阪府南大阪市架空町10-2-1,給排水設備点検,admin@table-to-app.example,2026-08-24,2026-08-27,submitted,80000,invoiced,架空データ
